Date;Details;Debit;Credit;Balance
26 Mar 2014;VDA-ULSTER BANK;20,00 ;;
;VDP-BARROW STREET;33,52 ;;
;VDP-EUROSPAR BARRO;10,09 ;;
;VDP-HANOVER MEDICA;60,00 ;;
;VDP-JUMP JUICE BAR;3,95 ;;
;VDP-LIDL RANELAGH;42,59 ;;
;VDP-R.F.G IRELAND;5,95 ;;4551,01 
27 Mar 2014;REV-BARROW STREET;;33,52 ;
;REV-EUROSPAR BARRO;;10,09 ;
;REV-HANOVER MEDICA;;60,00 ;
;REV-LIDL RANELAGH;;42,59 ;
;VDP-ODEON;21,50 ;;
;VDP-ODEON CINEMA;34,80 ;;
;VDP-SPAR CORRIB OI;19,02 ;;4621,89 
28 Mar 2014;GTSDSCT140870SFD;;3658,97 ;
;DIMENSION DATA;;;
;VDA-ULSTER BANK;20,00 ;;
;NEIL OKEEFFE;1550,00 ;;
;FEE-QTR TO 28FEB14;48,60 ;;
;933384-58436021;;;6662,26 
31 Mar 2014;ATM DUNNES BLANCH1;50,00 ;;
;29MAR14 TIME 17:22;;;
;ATM TALLAGHT 2;20,00 ;;
;31MAR14 TIME 09:50;;;
;VDP-DEBENHAMS;43,00 ;;
;VDP-EUROSPAR BARRO;10,83 ;;
;VDP-EUROSPAR BARRO;12,80 ;;6525,63 
31 Mar 2014;BALANCE FORWARD;;;6525,63 
;VDP-EUROSPAR BARRO;18,22 ;;
;VDP-EUROSPAR BARRO;23,18 ;;
;VDP-MAO RESTAURANT;62,00 ;;
;VDP-SURMA;12,00 ;;
;GTSOSCT1409001CJ;875,00 ;;
;*INET VENCIMENTO;;;5535,23 
